victim_id,victim_name,gender,age,occupation,marital_status,income_group
V00128,Person_128,Male,45,Doctor,Single,Middle
V00129,Person_129,Male,46,Doctor,Single,High
V00130,Person_130,Female,72,Lawyer,Single,High
V00131,Person_131,Male,25,Business,Married,Middle
V00132,Person_132,Female,68,Doctor,Single,High
V00133,Person_133,Female,31,Student,Married,Low
V00134,Person_134,Male,62,Business,Married,Middle
V00135,Person_135,Female,51,Business,Married,Low
V00136,Person_136,Female,44,Doctor,Single,Middle
V00137,Person_137,Male,55,Business,Married,Middle
V00138,Person_138,Female,43,Business,Married,Low
V00139,Person_139,Female,40,Engineer,Single,Middle
V00140,Person_140,Female,60,Engineer,Married,Middle
V00141,Person_141,Male,40,Engineer,Single,Middle
V00142,Person_142,Male,18,Teacher,Single,High
V00143,Person_143,Male,29,Lawyer,Married,Middle
V00144,Person_144,Male,70,Student,Married,Low
V00145,Person_145,Male,52,Teacher,Married,Low
V00146,Person_146,Male,24,Doctor,Single,Middle
V00147,Person_147,Female,73,Business,Married,Low
V00148,Person_148,Female,21,Student,Single,Low
V00149,Person_149,Female,64,Engineer,Single,Middle
V00150,Person_150,Male,46,Employee,Married,High
V00151,Person_151,Male,30,Engineer,Single,Low
V00152,Person_152,Female,60,Teacher,Married,Middle
V00153,Person_153,Female,38,Student,Single,Middle
V00154,Person_154,Female,28,Teacher,Single,Middle
V00155,Person_155,Female,74,Engineer,Single,High
V00156,Person_156,Female,66,Student,Married,Low
V00157,Person_157,Female,33,Employee,Married,Low
V00158,Person_158,Male,56,Teacher,Married,Low
V00159,Person_159,Female,43,Student,Single,High
V00160,Person_160,Male,50,Business,Single,Low
V00161,Person_161,Male,30,Student,Married,Low
V00162,Person_162,Female,69,Lawyer,Single,Middle
V00163,Person_163,Male,56,Employee,Married,Low
V00164,Person_164,Female,29,Lawyer,Single,High
V00165,Person_165,Female,71,Engineer,Married,Middle
V00166,Person_166,Male,73,Doctor,Single,Middle
V00167,Person_167,Female,27,Engineer,Single,Middle
V00168,Person_168,Female,53,Lawyer,Married,Middle
V00169,Person_169,Male,61,Student,Single,Middle
V00170,Person_170,Male,26,Student,Single,Middle
V00171,Person_171,Female,35,Teacher,Married,Middle
V00172,Person_172,Female,26,Student,Married,Middle
V00173,Person_173,Male,46,Teacher,Married,Middle
V00174,Person_174,Male,42,Employee,Single,Middle
V00175,Person_175,Male,37,Doctor,Married,Low
V00176,Person_176,Female,54,Student,Single,High
V00177,Person_177,Female,35,Teacher,Married,High
V00178,Person_178,Male,62,Business,Single,Middle
V00179,Person_179,Female,62,Employee,Single,Middle
V00180,Person_180,Female,67,Engineer,Single,Low
V00181,Person_181,Female,54,Engineer,Married,Low
V00182,Person_182,Female,29,Student,Married,Low
V00183,Person_183,Male,32,Teacher,Married,Middle
V00184,Person_184,Female,37,Engineer,Married,Middle
V00185,Person_185,Female,61,Teacher,Single,Middle
V00186,Person_186,Male,57,Student,Single,Low
V00187,Person_187,Male,31,Student,Married,High
V00188,Person_188,Female,59,Business,Single,High
V00189,Person_189,Female,60,Doctor,Married,Low
V00190,Person_190,Female,60,Teacher,Married,Low
V00191,Person_191,Male,51,Student,Single,Low
V00192,Person_192,Female,23,Business,Married,High
V00193,Person_193,Male,18,Teacher,Married,Low
V00194,Person_194,Female,44,Engineer,Single,Middle
V00195,Person_195,Male,33,Student,Single,Low
V00196,Person_196,Female,46,Employee,Single,Low
V00197,Person_197,Female,20,Student,Single,Middle
V00198,Person_198,Female,37,Doctor,Single,Middle
V00199,Person_199,Male,41,Employee,Single,Middle
V00200,Person_200,Male,51,Doctor,Single,Middle
V00201,Person_201,Male,40,Student,Single,Low
V00202,Person_202,Male,31,Lawyer,Single,Middle
V00203,Person_203,Male,42,Student,Single,Middle
V00204,Person_204,Male,44,Employee,Single,Middle
V00205,Person_205,Female,60,Teacher,Married,High
V00206,Person_206,Male,31,Business,Single,High
V00207,Person_207,Female,42,Business,Single,High
V00208,Person_208,Male,49,Student,Single,Middle
V00209,Person_209,Female,21,Doctor,Single,Middle
V00210,Person_210,Female,25,Employee,Married,Middle
V00211,Person_211,Female,24,Business,Single,Middle
V00212,Person_212,Male,54,Lawyer,Married,High
V00213,Person_213,Male,26,Lawyer,Married,Low
V00214,Person_214,Female,35,Business,Married,High
V00215,Person_215,Male,21,Doctor,Single,High
V00216,Person_216,Male,26,Student,Single,Low
V00217,Person_217,Male,31,Employee,Married,High
V00218,Person_218,Female,41,Doctor,Married,Middle
V00219,Person_219,Male,52,Teacher,Married,Middle
V00220,Person_220,Male,53,Engineer,Married,High
V00221,Person_221,Female,68,Student,Single,Low
V00222,Person_222,Male,43,Business,Single,High
V00223,Person_223,Female,45,Doctor,Single,Low
V00224,Person_224,Female,32,Lawyer,Single,High
V00225,Person_225,Male,41,Employee,Single,High
V00226,Person_226,Male,64,Lawyer,Married,Middle
V00227,Person_227,Male,18,Teacher,Single,Low
V00228,Person_228,Female,66,Lawyer,Single,Middle
V00229,Person_229,Male,44,Doctor,Married,Middle
V00230,Person_230,Male,45,Engineer,Married,Middle
V00231,Person_231,Male,55,Employee,Married,Middle
V00232,Person_232,Female,29,Doctor,Married,Middle
V00233,Person_233,Male,20,Doctor,Single,Middle
V00234,Person_234,Female,32,Teacher,Single,Low
V00235,Person_235,Female,70,Business,Single,High
V00236,Person_236,Male,41,Doctor,Married,Middle
V00237,Person_237,Male,53,Employee,Single,Middle
V00238,Person_238,Male,69,Employee,Single,Low
V00239,Person_239,Female,74,Student,Single,Low
V00240,Person_240,Male,28,Employee,Single,High
V00241,Person_241,Female,19,Teacher,Married,Middle
V00242,Person_242,Female,27,Lawyer,Single,High
V00243,Person_243,Male,58,Teacher,Single,Low
V00244,Person_244,Male,71,Teacher,Single,Middle
V00245,Person_245,Female,61,Business,Married,High
V00246,Person_246,Female,23,Student,Married,Middle
V00247,Person_247,Female,26,Lawyer,Single,Low
V00248,Person_248,Female,33,Doctor,Married,Middle
V00249,Person_249,Female,26,Employee,Single,Low
V00250,Person_250,Female,42,Doctor,Single,Middle
V00251,Person_251,Male,19,Engineer,Single,Low
V00252,Person_252,Male,29,Employee,Married,Middle
V00253,Person_253,Female,28,Engineer,Married,Low
V00254,Person_254,Male,29,Business,Married,Middle
V00255,Person_255,Female,60,Student,Married,High
V00256,Person_256,Male,47,Doctor,Married,Middle
V00257,Person_257,Female,45,Employee,Married,Middle
V00258,Person_258,Male,43,Business,Married,Low
V00259,Person_259,Female,33,Business,Single,Middle
V00260,Person_260,Male,59,Lawyer,Single,Middle
V00261,Person_261,Male,57,Employee,Married,Middle
V00262,Person_262,Female,34,Student,Married,Low
V00263,Person_263,Male,68,Student,Single,Low
V00264,Person_264,Female,45,Business,Single,Middle
V00265,Person_265,Female,28,Engineer,Single,High
V00266,Person_266,Male,49,Engineer,Single,Middle
V00267,Person_267,Female,46,Business,Married,Middle
V00268,Person_268,Female,50,Student,Single,Low
V00269,Person_269,Female,62,Lawyer,Single,Middle
V00270,Person_270,Male,55,Teacher,Single,Middle
V00271,Person_271,Female,32,Doctor,Single,Middle
V00272,Person_272,Female,20,Engineer,Single,Middle
V00273,Person_273,Male,73,Doctor,Married,Middle
V00274,Person_274,Male,23,Student,Single,Middle
V00275,Person_275,Male,62,Doctor,Single,Low
V00276,Person_276,Female,20,Business,Married,Middle
V00277,Person_277,Female,22,Employee,Married,Middle
V00278,Person_278,Male,53,Teacher,Single,High
V00279,Person_279,Male,23,Business,Single,Low
V00280,Person_280,Male,64,Engineer,Married,Low
V00281,Person_281,Male,63,Student,Single,Low
V00282,Person_282,Female,43,Student,Married,Middle
V00283,Person_283,Female,19,Business,Single,Low
V00284,Person_284,Male,31,Student,Married,Low
V00285,Person_285,Male,65,Doctor,Married,Middle
V00286,Person_286,Male,40,Engineer,Married,Low
V00287,Person_287,Male,19,Engineer,Married,Middle
V00288,Person_288,Female,48,Engineer,Married,Middle
V00289,Person_289,Male,52,Employee,Single,Middle
V00290,Person_290,Male,22,Engineer,Married,Middle
V00291,Person_291,Male,39,Student,Single,Middle
V00292,Person_292,Male,44,Doctor,Married,Low
V00293,Person_293,Male,73,Doctor,Married,Low
V00294,Person_294,Female,69,Business,Single,Low
V00295,Person_295,Female,28,Employee,Single,Low
V00296,Person_296,Female,65,Teacher,Single,Middle
V00297,Person_297,Female,23,Teacher,Married,High
V00298,Person_298,Male,59,Teacher,Single,Low
V00299,Person_299,Female,70,Student,Married,Middle
V00300,Person_300,Female,45,Teacher,Married,Middle
V00301,Person_301,Female,32,Business,Single,Low
V00302,Person_302,Female,73,Teacher,Single,Low
V00303,Person_303,Male,40,Employee,Single,High
V00304,Person_304,Female,51,Engineer,Married,High
V00305,Person_305,Female,24,Student,Single,Middle
V00306,Person_306,Male,48,Doctor,Married,Middle
V00307,Person_307,Female,20,Engineer,Single,Low
V00308,Person_308,Female,49,Engineer,Married,Low
V00309,Person_309,Female,48,Employee,Married,Low
V00310,Person_310,Male,45,Lawyer,Single,Low
V00311,Person_311,Female,36,Doctor,Single,Middle
V00312,Person_312,Female,19,Business,Married,High
V00313,Person_313,Male,29,Employee,Married,Low
V00314,Person_314,Male,72,Engineer,Single,High
V00315,Person_315,Male,56,Business,Single,Low
V00316,Person_316,Male,47,Engineer,Married,Middle
V00317,Person_317,Female,59,Business,Single,Low
V00318,Person_318,Male,63,Doctor,Single,Middle
V00319,Person_319,Male,67,Employee,Married,Low
V00320,Person_320,Female,54,Engineer,Married,Middle
V00321,Person_321,Male,48,Employee,Single,Middle
V00322,Person_322,Male,18,Employee,Single,Middle
V00323,Person_323,Male,28,Engineer,Single,Middle
V00324,Person_324,Female,74,Doctor,Married,Low
V00325,Person_325,Female,55,Lawyer,Married,Middle
V00326,Person_326,Female,46,Doctor,Single,High
V00327,Person_327,Female,49,Engineer,Single,Middle
V00328,Person_328,Female,74,Lawyer,Single,Low
V00329,Person_329,Male,28,Student,Married,High
V00330,Person_330,Male,35,Teacher,Single,Middle
V00331,Person_331,Male,57,Business,Single,Middle
V00332,Person_332,Male,70,Business,Single,Low
V00333,Person_333,Female,71,Engineer,Single,Low
V00334,Person_334,Female,68,Business,Married,Low
V00335,Person_335,Female,44,Engineer,Single,Middle
V00336,Person_336,Male,20,Engineer,Married,Middle
V00337,Person_337,Male,64,Student,Single,Middle
V00338,Person_338,Female,42,Teacher,Married,Low
V00339,Person_339,Male,32,Lawyer,Single,Middle
V00340,Person_340,Male,44,Student,Single,High
V00341,Person_341,Female,44,Student,Married,Middle
V00342,Person_342,Male,18,Business,Single,Low
V00343,Person_343,Male,56,Doctor,Single,Middle
V00344,Person_344,Female,69,Employee,Married,High
V00345,Person_345,Male,58,Employee,Single,Low
V00346,Person_346,Female,19,Engineer,Married,Middle
V00347,Person_347,Female,25,Doctor,Single,Low
V00348,Person_348,Male,55,Doctor,Married,Low
V00349,Person_349,Male,63,Employee,Married,Middle
V00350,Person_350,Male,63,Teacher,Single,Low
V00351,Person_351,Female,35,Teacher,Married,High
V00352,Person_352,Male,21,Lawyer,Single,Low
V00353,Person_353,Male,31,Student,Single,Middle
V00354,Person_354,Male,60,Student,Single,Low
V00355,Person_355,Female,74,Doctor,Single,High
V00356,Person_356,Male,39,Doctor,Single,Middle
V00357,Person_357,Male,46,Business,Single,Middle
V00358,Person_358,Male,47,Student,Single,Low
V00359,Person_359,Female,42,Student,Married,Middle
V00360,Person_360,Female,27,Employee,Married,Low
V00361,Person_361,Female,55,Employee,Married,Low
V00362,Person_362,Female,33,Teacher,Single,Low
V00363,Person_363,Male,19,Teacher,Married,Middle
V00364,Person_364,Female,57,Business,Married,Low
V00365,Person_365,Male,64,Doctor,Married,Low
V00366,Person_366,Male,18,Business,Married,Middle
V00367,Person_367,Female,19,Business,Married,Middle
V00368,Person_368,Male,63,Engineer,Married,Low
V00369,Person_369,Female,30,Business,Married,High
V00370,Person_370,Male,65,Lawyer,Married,Low
V00371,Person_371,Male,73,Employee,Married,Middle
V00372,Person_372,Female,25,Lawyer,Married,Low
V00373,Person_373,Male,42,Engineer,Single,Middle
V00374,Person_374,Male,54,Employee,Single,High
V00375,Person_375,Female,71,Teacher,Single,Middle
V00376,Person_376,Female,40,Student,Married,Low
V00377,Person_377,Female,29,Engineer,Married,Middle
V00378,Person_378,Male,67,Lawyer,Married,Low
V00379,Person_379,Male,45,Teacher,Married,Low
V00380,Person_380,Female,60,Doctor,Married,Middle
V00381,Person_381,Female,34,Engineer,Married,Middle
V00382,Person_382,Female,38,Business,Married,Low
V00383,Person_383,Male,44,Employee,Single,Low
V00384,Person_384,Female,48,Business,Married,Middle
V00385,Person_385,Female,33,Teacher,Single,Middle
V00386,Person_386,Male,67,Doctor,Single,Middle
V00387,Person_387,Female,71,Business,Single,Low
V00388,Person_388,Male,20,Teacher,Single,Middle
V00389,Person_389,Female,68,Business,Single,Low
V00390,Person_390,Female,33,Employee,Married,High
V00391,Person_391,Female,39,Engineer,Single,Low
V00392,Person_392,Female,22,Doctor,Single,Middle
V00393,Person_393,Female,18,Business,Single,Middle
V00394,Person_394,Male,24,Teacher,Married,Middle
V00395,Person_395,Female,64,Engineer,Single,High
V00396,Person_396,Male,38,Engineer,Single,Middle
V00397,Person_397,Female,72,Doctor,Single,Low
V00398,Person_398,Female,42,Business,Single,Middle
V00399,Person_399,Male,49,Engineer,Single,High
V00400,Person_400,Male,26,Doctor,Single,Middle
V00401,Person_401,Male,61,Business,Married,Middle
V00402,Person_402,Female,53,Doctor,Single,Middle
V00403,Person_403,Female,43,Student,Married,Middle
V00404,Person_404,Male,29,Business,Married,Low
V00405,Person_405,Female,29,Employee,Married,High
V00406,Person_406,Female,65,Employee,Married,Low
V00407,Person_407,Female,65,Doctor,Married,Middle
V00408,Person_408,Male,48,Employee,Single,High
V00409,Person_409,Female,42,Business,Single,Middle
V00410,Person_410,Female,44,Employee,Married,Middle
V00411,Person_411,Male,33,Engineer,Married,High
V00412,Person_412,Male,73,Engineer,Married,Middle
V00413,Person_413,Male,67,Engineer,Single,Low
V00414,Person_414,Male,52,Business,Single,Low
V00415,Person_415,Male,60,Employee,Married,Low
V00416,Person_416,Female,67,Employee,Single,Middle
V00417,Person_417,Female,58,Doctor,Married,Middle
V00418,Person_418,Female,20,Doctor,Married,Low
V00419,Person_419,Male,51,Business,Single,Middle
V00420,Person_420,Male,37,Business,Married,Low
V00421,Person_421,Female,62,Engineer,Single,Low
V00422,Person_422,Female,73,Employee,Single,Middle
V00423,Person_423,Male,37,Student,Married,High
V00424,Person_424,Male,49,Engineer,Single,Middle
V00425,Person_425,Male,67,Business,Single,Low
V00426,Person_426,Female,45,Employee,Married,Low
V00427,Person_427,Female,39,Business,Single,High
V00428,Person_428,Female,21,Lawyer,Single,Middle
V00429,Person_429,Female,24,Employee,Single,Low
V00430,Person_430,Male,35,Doctor,Single,Low
V00431,Person_431,Female,72,Doctor,Married,Low
V00432,Person_432,Female,22,Student,Single,Low
V00433,Person_433,Female,66,Lawyer,Married,Middle
V00434,Person_434,Female,56,Employee,Single,Low
V00435,Person_435,Male,38,Lawyer,Single,Middle
V00436,Person_436,Male,60,Student,Single,Low
V00437,Person_437,Male,30,Engineer,Married,Low
V00438,Person_438,Female,69,Engineer,Single,Middle
V00439,Person_439,Female,41,Employee,Married,Low
V00440,Person_440,Female,50,Business,Single,Middle
V00441,Person_441,Male,53,Employee,Married,Middle
V00442,Person_442,Female,42,Student,Married,Low
V00443,Person_443,Female,37,Employee,Single,High
V00444,Person_444,Female,65,Engineer,Married,High
V00445,Person_445,Female,50,Student,Married,Low
V00446,Person_446,Male,63,Business,Single,Middle
V00447,Person_447,Male,23,Teacher,Married,Middle
V00448,Person_448,Female,40,Student,Single,High
V00449,Person_449,Male,71,Business,Single,Low
V00450,Person_450,Male,69,Doctor,Married,High
V00451,Person_451,Female,44,Student,Married,Middle
V00452,Person_452,Male,71,Student,Married,High
V00453,Person_453,Male,44,Engineer,Married,Low
V00454,Person_454,Male,65,Engineer,Single,Middle
V00455,Person_455,Male,36,Doctor,Single,Low
V00456,Person_456,Female,62,Lawyer,Single,Low
V00457,Person_457,Male,59,Doctor,Single,High
V00458,Person_458,Male,25,Engineer,Single,Low
V00459,Person_459,Female,18,Student,Married,Middle
V00460,Person_460,Female,30,Business,Married,Middle
V00461,Person_461,Male,25,Student,Married,Low
V00462,Person_462,Female,28,Engineer,Married,Low
V00463,Person_463,Male,71,Engineer,Single,Low
V00464,Person_464,Female,53,Business,Married,High
V00465,Person_465,Male,41,Business,Single,Middle
V00466,Person_466,Male,71,Engineer,Single,High
V00467,Person_467,Male,60,Employee,Married,High
V00468,Person_468,Male,58,Doctor,Married,Low
V00469,Person_469,Male,24,Business,Single,Low
V00470,Person_470,Female,35,Employee,Single,Low
V00471,Person_471,Male,27,Employee,Married,Middle
V00472,Person_472,Female,49,Business,Single,High
V00473,Person_473,Male,36,Engineer,Married,Low
V00474,Person_474,Female,45,Teacher,Married,Low
V00475,Person_475,Female,71,Business,Single,Low
V00476,Person_476,Male,27,Business,Married,High
V00477,Person_477,Female,53,Student,Married,Middle
V00478,Person_478,Female,64,Student,Single,Low
V00479,Person_479,Male,52,Doctor,Single,Low
V00480,Person_480,Male,40,Engineer,Married,Low
V00481,Person_481,Female,41,Lawyer,Single,Low
V00482,Person_482,Male,59,Business,Single,Middle
V00483,Person_483,Male,73,Student,Married,Middle
V00484,Person_484,Female,34,Student,Single,Middle
V00485,Person_485,Male,35,Business,Married,Low
V00486,Person_486,Female,51,Doctor,Single,Middle
V00487,Person_487,Female,38,Doctor,Married,High
V00488,Person_488,Female,42,Doctor,Single,Middle
V00489,Person_489,Male,55,Teacher,Single,Low
V00490,Person_490,Male,68,Student,Married,Middle
V00491,Person_491,Female,27,Doctor,Married,Middle
V00492,Person_492,Male,72,Business,Married,Low
V00493,Person_493,Male,24,Teacher,Married,Middle
V00494,Person_494,Female,55,Doctor,Single,Middle
V00495,Person_495,Female,23,Engineer,Single,Low
V00496,Person_496,Male,33,Teacher,Married,Middle
V00497,Person_497,Male,44,Student,Married,Middle
V00498,Person_498,Male,38,Lawyer,Married,Middle
V00499,Person_499,Female,51,Engineer,Married,Low
V00500,Person_500,Male,44,Lawyer,Single,Low
V00501,Person_501,Female,36,Student,Single,Low
V00502,Person_502,Male,67,Business,Single,Middle
V00503,Person_503,Female,67,Business,Married,Middle
V00504,Person_504,Male,36,Business,Single,Middle
V00505,Person_505,Female,65,Business,Single,Low
V00506,Person_506,Female,50,Lawyer,Single,Low
V00507,Person_507,Male,54,Business,Married,Low
V00508,Person_508,Female,21,Business,Single,Low
V00509,Person_509,Male,70,Teacher,Single,High
V00510,Person_510,Female,24,Employee,Single,Low
V00511,Person_511,Male,31,Student,Single,Middle
V00512,Person_512,Male,67,Doctor,Married,Middle
V00513,Person_513,Female,40,Business,Single,Low
V00514,Person_514,Female,70,Doctor,Married,Middle
V00515,Person_515,Female,62,Engineer,Married,Middle
V00516,Person_516,Male,58,Doctor,Single,Low
V00517,Person_517,Male,58,Doctor,Single,High
V00518,Person_518,Male,63,Doctor,Single,Low
V00519,Person_519,Female,63,Employee,Married,Middle
V00520,Person_520,Male,46,Engineer,Married,Low
V00521,Person_521,Male,63,Business,Single,Low
V00522,Person_522,Female,41,Employee,Married,Low
V00523,Person_523,Female,44,Teacher,Married,Low
V00524,Person_524,Female,23,Lawyer,Married,Middle
V00525,Person_525,Female,58,Student,Married,Middle
V00526,Person_526,Male,67,Student,Married,High
V00527,Person_527,Female,69,Lawyer,Married,High
V00528,Person_528,Female,65,Employee,Married,Low
V00529,Person_529,Male,33,Business,Single,Middle
V00530,Person_530,Female,33,Doctor,Single,High
V00531,Person_531,Female,54,Lawyer,Married,Middle
V00532,Person_532,Female,43,Doctor,Married,Middle
V00533,Person_533,Female,69,Employee,Married,Low
V00534,Person_534,Male,33,Doctor,Single,Middle
V00535,Person_535,Male,70,Business,Married,Low
V00536,Person_536,Female,29,Engineer,Married,Middle
V00537,Person_537,Female,24,Teacher,Married,Middle
V00538,Person_538,Female,63,Employee,Single,High
V00539,Person_539,Male,19,Employee,Married,Low
V00540,Person_540,Female,69,Employee,Single,Middle
V00541,Person_541,Female,56,Business,Single,Middle
V00542,Person_542,Female,20,Engineer,Married,Middle
V00543,Person_543,Female,71,Doctor,Single,Middle
V00544,Person_544,Female,45,Teacher,Married,Middle
V00545,Person_545,Female,35,Business,Single,High
V00546,Person_546,Male,58,Student,Single,High
V00547,Person_547,Female,18,Teacher,Single,Middle
V00548,Person_548,Male,61,Student,Single,High
V00549,Person_549,Male,22,Engineer,Married,Low
V00550,Person_550,Female,23,Employee,Married,Middle
V00551,Person_551,Female,67,Student,Married,Low
V00552,Person_552,Female,30,Business,Single,Low
V00553,Person_553,Male,62,Lawyer,Married,Middle
V00554,Person_554,Male,46,Business,Married,Middle
V00555,Person_555,Male,39,Teacher,Single,High
V00556,Person_556,Male,25,Lawyer,Married,High
V00557,Person_557,Male,32,Lawyer,Married,Low
V00558,Person_558,Male,32,Business,Married,High
V00559,Person_559,Male,32,Lawyer,Single,Low
V00560,Person_560,Male,59,Teacher,Married,Low
V00561,Person_561,Female,32,Student,Single,Middle
V00562,Person_562,Male,41,Doctor,Single,Low
V00563,Person_563,Female,41,Engineer,Single,Low
V00564,Person_564,Female,18,Lawyer,Married,Low
V00565,Person_565,Male,33,Business,Married,High
V00566,Person_566,Male,27,Doctor,Married,Low
V00567,Person_567,Male,43,Student,Single,Middle
